num,grid,count,fast_count,slow_count,area,lon,la,CBD,dynamic_pricing
1,102,30,3,27,0.71,114.103,22.54041,0,0
3,105,93,0,93,0.77,114.1208,22.55127,0,0
5,107,88,2,86,0.89,114.1304,22.54486,0,0
6,108,39,0,39,1.26,114.1315,22.55403,0,0
7,109,39,0,39,3.15,114.143,22.56388,0,0
8,110,86,12,74,2.13,114.1434,22.54906,0,0
9,111,85,0,85,1.76,114.1278,22.5638,0,0
10,115,23,0,23,0.72,114.1143,22.56839,0,0
13,123,28,0,28,3.69,114.1498,22.58204,0,0
14,124,56,0,56,26.92,114.183,22.5889,0,0
15,202,57,0,57,2.04,114.0532,22.55627,1,0
17,204,57,0,57,1.11,114.0622,22.5636,1,0
18,205,59,0,59,0.89,114.0649,22.55055,1,0
19,206,115,0,115,0.65,114.0652,22.53743,1,1
20,208,13,0,13,1.15,114.0938,22.56371,0,0
25,215,52,0,52,1.71,114.0751,22.56655,1,0
26,216,24,0,24,1.86,114.0711,22.54714,1,0
27,217,129,0,129,1.44,114.0249,22.52743,1,0
28,223,159,4,155,2.41,114.0478,22.50937,1,1
29,224,141,0,141,1.82,114.0698,22.52417,1,0
30,225,20,0,20,1.57,114.0042,22.53302,1,0
31,226,71,9,62,1.2,114.0218,22.53539,1,0
32,227,95,5,90,1.64,114.0356,22.53703,1,0
33,235,43,0,43,10.82,114.0261,22.5753,0,0
34,307,160,0,160,3.2,113.9412,22.49918,0,0
35,309,119,0,119,7.63,113.9013,22.49661,0,0
39,320,25,0,25,3.28,113.9181,22.56179,1,0
41,322,66,18,48,1.23,113.9465,22.56008,1,1
42,323,41,0,41,1.91,113.9473,22.54934,1,0
43,324,163,0,163,1.76,113.9344,22.54889,1,1
44,325,59,4,55,0.99,113.9469,22.53975,1,1
45,326,145,0,145,1.95,113.9319,22.53578,1,0
46,328,95,0,95,2.81,113.9674,22.55032,1,0
47,329,267,6,261,3.33,113.9816,22.54486,1,0
48,330,35,2,33,2.91,113.9746,22.53477,1,0
49,331,36,0,36,2.84,113.9735,22.52735,1,0
50,332,230,0,230,3.53,113.956,22.54291,1,1
51,333,88,57,31,2.4,113.9661,22.56437,1,1
53,335,271,14,257,18.32,113.9879,22.57965,0,1
56,340,23,0,23,1.5,113.9575,22.58859,0,0
58,343,28,0,28,2.49,113.9934,22.60114,0,0
59,346,110,60,50,35.44,113.9558,22.62228,0,0
60,347,29,0,29,2.44,113.9412,22.51618,1,0
61,348,86,11,75,15.4,114.1072,22.547435,1,0
62,406,14,0,14,6.4,114.2732,22.57869,0,0
63,408,57,0,57,4.38,114.2991,22.5991,0,0
64,501,47,0,47,2.83,113.8862,22.55102,1,0
65,502,100,24,76,2.54,113.87,22.55353,1,0
67,506,186,17,169,3.29,113.9057,22.56845,0,0
71,512,115,30,85,2.38,113.8836,22.58677,0,0
72,513,223,0,223,7.29,113.8733,22.60457,0,0
74,519,199,48,151,4.6,113.8579,22.59503,0,0
75,520,132,20,112,3.11,113.8368,22.59999,0,0
76,522,110,10,100,1.95,113.8473,22.60986,0,1
77,525,102,0,102,1.72,113.8775,22.56334,1,0
78,526,276,10,266,3.17,113.8627,22.56923,0,0
79,527,140,18,122,2.1,113.8533,22.57686,0,0
81,529,48,0,48,0.98,113.8582,22.61829,0,0
82,552,46,0,46,3.22,113.8182,22.66277,0,0
88,570,21,0,21,3.38,113.8485,22.78576,0,0
91,576,146,94,52,2.68,113.8177,22.77567,0,1
92,577,24,6,18,1.99,113.843,22.77957,0,0
94,580,50,30,20,3.85,113.8309,22.74907,0,0
96,584,55,0,55,2.58,113.8283,22.73523,0,0
97,585,12,0,12,3.44,113.8147,22.75813,0,0
98,587,133,4,129,2.88,113.8114,22.74147,0,0
99,588,134,2,132,2.73,113.8087,22.72675,0,0
100,589,80,16,64,3.55,113.8237,22.72127,0,1
102,594,38,0,38,2.04,113.7945,22.72746,0,1
103,595,137,137,0,3.38,113.793,22.70982,0,1
104,596,74,5,69,2.96,113.7904,22.68773,0,1
105,598,12,0,12,2.11,113.8012,22.69107,0,0
107,627,20,20,0,2.88,113.8628,22.78574,0,1
108,628,6,6,0,12.58,113.9469,22.66496,0,1
110,630,6,6,0,4.08,113.8943,22.77903,0,1
111,631,34,6,28,3.52,113.8759,22.77263,0,1
112,632,30,0,30,5.14,113.8849,22.78994,0,0
113,633,135,85,50,4.89,113.9039,22.75977,0,1
114,636,12,12,0,5.29,113.9186,22.73347,0,1
116,638,12,0,12,7.02,113.8806,22.74363,0,0
119,643,31,4,27,2.4,113.8933,22.71749,0,1
120,644,48,0,48,6.38,113.9708,22.72562,0,0
125,655,24,0,24,2.08,113.8882,22.75718,0,0
126,656,50,0,50,2.18,113.9381,22.74968,0,0
128,681,18,0,18,19.58,113.9979,22.63268,0,0
129,682,50,38,12,3,114.0326,22.75218,0,1
130,686,89,0,89,4.08,114.0421,22.73902,0,0
134,690,70,58,12,2.23,114.0322,22.72003,0,1
135,691,35,0,35,2.44,114.0211,22.70901,0,0
137,693,75,27,48,2.07,114.0445,22.72468,0,1
139,698,9,0,9,1.75,114.0424,22.69842,0,0
140,699,86,34,52,4.85,114.0312,22.60431,0,1
141,700,99,0,99,3.99,114.0543,22.60524,0,0
142,701,12,0,12,1.94,114.0388,22.6145,0,0
143,702,3,0,3,2.51,114.0489,22.6219,0,0
144,703,313,0,313,2.38,114.0334,22.62769,0,0
145,704,141,12,129,2.66,114.0207,22.6245,0,0
146,705,57,1,56,1.81,114.0345,22.63789,0,0
147,706,30,0,30,1.62,114.0548,22.63365,0,0
148,708,31,20,11,2.31,114.0434,22.65522,0,1
149,709,56,0,56,1.78,114.027,22.65316,0,0
150,710,83,0,83,2.29,114.018,22.64512,0,0
151,711,34,0,34,1.28,114.0191,22.66198,0,0
152,712,90,46,44,1.69,114.0304,22.66432,0,1
153,715,13,5,8,8.38,113.9911,22.70269,0,0
154,716,147,6,141,3.95,114.0739,22.60935,0,1
156,719,6,0,6,0.8,113.9909,22.67147,0,0
157,724,166,4,162,3,114.0083,22.63661,0,1
159,728,22,12,10,2.9,114.0773,22.7076,0,0
160,729,39,20,19,6.66,114.0807,22.68198,0,1
