station_id,latitude,longitude,fast,slow,count
1,22.716272,113.826349,5,5,10
2,22.678851,114.049721,20,0,20
3,22.509541,114.05851,0,8,8
4,22.60597,114.12211,0,6,6
5,22.732771,113.816951,0,55,55
6,22.706775,114.089928,19,0,19
7,22.563115,114.100803,0,15,15
8,22.730137,113.856308,0,12,12
9,22.724037,113.892424,10,19,29
10,22.6325,114.233941,0,24,24
11,22.534995,114.056606,0,5,5
12,22.524123,113.924843,0,12,12
13,22.689176,114.346185,0,18,18
14,22.54421,114.117286,0,2,2
15,22.647557,114.048078,20,0,20
16,22.478603,113.884043,0,12,12
17,22.727942,113.82565,0,11,11
18,22.533902,114.106792,0,18,18
19,22.588465,113.993017,4,22,26
20,22.506216,113.938953,0,9,9
21,22.540155,114.01892,2,4,6
22,22.726231,113.905719,12,0,12
23,22.547058,114.095443,0,3,3
24,22.731351,113.790987,0,10,10
25,22.583958,113.863746,0,10,10
26,22.625239,113.864174,9,32,41
27,22.71162,114.26997,0,14,14
28,22.7296,114.04726,0,26,26
29,22.653259,114.068186,40,0,40
30,22.690736,114.064322,0,8,8
31,22.520969,113.937401,0,12,12
32,22.593366,113.850167,0,12,12
33,22.612619,114.127152,0,6,6
34,22.584902,114.106376,0,6,6
35,22.516192,113.921492,4,43,47
36,22.7296,114.04726,12,0,12
37,22.625504,113.83804,14,4,18
38,22.728913,114.239907,0,22,22
39,22.720152,114.234986,0,3,3
40,22.586961,114.106492,70,16,86
41,22.54242,113.930472,0,6,6
42,22.7304,113.829739,0,24,24
43,22.690942,114.270954,0,24,24
44,22.617273,114.149992,0,34,34
45,22.520467,113.950235,11,42,53
46,22.492468,113.895002,0,8,8
47,22.513683,113.914678,0,64,64
48,22.583252,114.137044,0,12,12
49,22.509264,113.886103,0,36,36
50,22.710848,114.251442,0,12,12
51,22.727181,113.833452,0,4,4
52,22.611117,114.124909,0,6,6
53,22.684912,114.120736,0,6,6
54,22.571679,114.043632,0,4,4
55,22.64332,114.202977,0,6,6
56,22.633479,113.837596,0,12,12
57,22.536352,114.031562,0,6,6
58,22.563943,114.097808,0,6,6
59,22.602562,114.126209,0,12,12
60,22.72642,114.22194,0,24,24
61,22.710296,114.251553,0,24,24
62,22.542985,114.040452,0,5,5
63,22.540127,114.025093,0,5,5
64,22.536868,114.068445,0,6,6
65,22.587184,114.261394,0,8,8
66,22.53791,114.051237,0,6,6
67,22.528979,114.044673,0,4,4
68,22.48691,113.89237,0,12,12
69,22.721826,114.274033,0,4,4
70,22.64277,114.069669,0,12,12
71,22.491271,113.941996,0,16,16
72,22.603256,114.152602,0,3,3
73,22.573805,113.946385,0,47,47
74,22.519999,113.935913,0,6,6
75,22.640312,114.011249,0,12,12
76,22.569612,114.10666,0,6,6
77,22.514398,114.062954,0,6,6
78,22.564912,114.015799,0,2,2
79,22.520385,113.93734,0,6,6
80,22.72995,114.253211,0,6,6
81,22.544974,114.121593,0,3,3
82,22.646869,114.196529,0,4,4
83,22.52641,113.9273,0,10,10
84,22.582992,113.88751,0,2,2
85,22.525552,114.050752,0,14,14
86,22.560258,114.047872,0,12,12
87,22.58833,114.275801,0,8,8
88,22.536136,113.925693,0,1,1
89,22.525891,114.056066,0,3,3
90,22.582333,114.121266,0,2,2
91,22.525096,113.913398,0,3,3
92,22.598743,114.127957,0,8,8
93,22.624811,114.068004,0,3,3
94,22.553756,114.035875,0,3,3
95,22.554631,113.989703,0,10,10
96,22.614615,114.073996,0,36,36
97,22.534074,114.020878,0,14,14
98,22.516789,114.065332,0,3,3
99,22.633593,114.079601,0,5,5
100,22.545418,114.064502,0,3,3
101,22.547034,113.880254,0,6,6
102,22.562316,113.98208,0,4,4
103,22.73181,114.237207,0,8,8
104,22.571183,114.061546,0,2,2
105,22.621193,114.076978,0,38,38
106,22.546864,113.98015,0,3,3
107,22.71329,114.244243,0,24,24
108,22.727204,114.381555,0,6,6
