month,day,year,hour,minute,second
6,19,2022,0,0,0
6,19,2022,0,5,0
6,19,2022,0,10,0
6,19,2022,0,15,0
6,19,2022,0,20,0
6,19,2022,0,25,0
6,19,2022,0,30,0
6,19,2022,0,35,0
6,19,2022,0,40,0
6,19,2022,0,45,0
6,19,2022,0,50,0
6,19,2022,0,55,0
6,19,2022,1,0,0
6,19,2022,1,5,0
6,19,2022,1,10,0
6,19,2022,1,15,0
6,19,2022,1,20,0
6,19,2022,1,25,0
6,19,2022,1,30,0
6,19,2022,1,35,0
6,19,2022,1,40,0
6,19,2022,1,45,0
6,19,2022,1,50,0
6,19,2022,1,55,0
6,19,2022,2,0,0
6,19,2022,2,5,0
6,19,2022,2,10,0
6,19,2022,2,15,0
6,19,2022,2,20,0
6,19,2022,2,25,0
6,19,2022,2,30,0
6,19,2022,2,35,0
6,19,2022,2,40,0
6,19,2022,2,45,0
6,19,2022,2,50,0
6,19,2022,2,55,0
6,19,2022,3,0,0
6,19,2022,3,5,0
6,19,2022,3,10,0
6,19,2022,3,15,0
6,19,2022,3,20,0
6,19,2022,3,25,0
6,19,2022,3,30,0
6,19,2022,3,35,0
6,19,2022,3,40,0
6,19,2022,3,45,0
6,19,2022,3,50,0
6,19,2022,3,55,0
6,19,2022,4,0,0
6,19,2022,4,5,0
6,19,2022,4,10,0
6,19,2022,4,15,0
6,19,2022,4,20,0
6,19,2022,4,25,0
6,19,2022,4,30,0
6,19,2022,4,35,0
6,19,2022,4,40,0
6,19,2022,4,45,0
6,19,2022,4,50,0
6,19,2022,4,55,0
6,19,2022,5,0,0
6,19,2022,5,5,0
6,19,2022,5,10,0
6,19,2022,5,15,0
6,19,2022,5,20,0
6,19,2022,5,25,0
6,19,2022,5,30,0
6,19,2022,5,35,0
6,19,2022,5,40,0
6,19,2022,5,45,0
6,19,2022,5,50,0
6,19,2022,5,55,0
6,19,2022,6,0,0
6,19,2022,6,5,0
6,19,2022,6,10,0
6,19,2022,6,15,0
6,19,2022,6,20,0
6,19,2022,6,25,0
6,19,2022,6,30,0
6,19,2022,6,35,0
6,19,2022,6,40,0
6,19,2022,6,45,0
6,19,2022,6,50,0
6,19,2022,6,55,0
6,19,2022,7,0,0
6,19,2022,7,5,0
6,19,2022,7,10,0
6,19,2022,7,15,0
6,19,2022,7,20,0
6,19,2022,7,25,0
6,19,2022,7,30,0
6,19,2022,7,35,0
6,19,2022,7,40,0
6,19,2022,7,45,0
6,19,2022,7,50,0
6,19,2022,7,55,0
6,19,2022,8,0,0
6,19,2022,8,5,0
6,19,2022,8,10,0
6,19,2022,8,15,0
6,19,2022,8,20,0
6,19,2022,8,25,0
6,19,2022,8,30,0
6,19,2022,8,35,0
6,19,2022,8,40,0
6,19,2022,8,45,0
6,19,2022,8,50,0
6,19,2022,8,55,0
6,19,2022,9,0,0
6,19,2022,9,5,0
6,19,2022,9,10,0
6,19,2022,9,15,0
6,19,2022,9,20,0
